the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-73.91252183356508 40.84360454754793, -73.91245941750576 40.8436924072343, -73.91243037698199 40.843680509487946, -73.91238208160883 40.84366072319821, -73.91235953382915 40.84369246285898, -73.91239715827106 40.84370787726475, -73.91228427180549 40.843866781637104, -73.91229400177262 40.8438707683147, -73.9122985337336 40.843872624975276, -73.91230519118024 40.84386325230187, -73.91233203570307 40.84387425061867, -73.9123506442188 40.843848055908936, -73.91238303162604 40.843861325867216, -73.91242738300787 40.84387949637846, -73.91241618631453 40.843895256411734, -73.91238752037681 40.8439356073488, -73.91236852380185 40.843927824364734, -73.9123674796953 40.843927396737804, -73.9123656074386 40.84393003195913, -73.91230252916066 40.84401882306325, -73.91229002120558 40.84401369875245, -73.912248188191 40.843996559368286, -73.9122057235187 40.84397916194713, -73.91217120521115 40.84396502044056, -73.91216548030512 40.84397307999677, -73.91216136550855 40.843971394742375, -73.91212086820313 40.84395480202786, -73.91208083667449 40.84393840145908, -73.91204079213041 40.84392199456291, -73.91203579560026 40.84391994753391, -73.91205486830934 40.84386293565113, -73.91207378026581 40.84380640810734, -73.9120739588389 40.843805873350554, -73.91207429432725 40.843805938441804, -73.91213530114457 40.843817708448384, -73.91216042132577 40.843822555123964, -73.91215698680637 40.8438328217317, -73.91217857902484 40.84383698764523, -73.91219407302714 40.84379067447397, -73.9121595508712 40.843784013356625, -73.91208955583016 40.84377050846664, -73.91208601838088 40.84376982589832, -73.91212944929043 40.8436400051833, -73.91213539797909 40.843641153341025, -73.9122114482778 40.84365582624933, -73.91221610599221 40.84365672488426, -73.91221197387804 40.843669074704074, -73.9122339560671 40.84367331564516, -73.912249895229 40.843625670074005, -73.91222425943609 40.8436207239711, -73.91214692768261 40.843605803360035, -73.91214155513391 40.84360476730288, -73.9121412587674 40.8436047094456, -73.91218718229382 40.843467440824085, -73.91226882107829 40.84350088782847, -73.91234041714783 40.84353022089456, -73.91240899593548 40.84355831794925, -73.91248227738751 40.84358834108393, -73.91252183356508 40.84360454754793)))",2008024,1926,,08/22/2017 12:00:00 AM +0000,Constructed,346390,76.8,2100,88,13129.4029656572,772.01050463422,2028380027,2028380027,Photogramm
"MULTIPOLYGON (((-73.90349609955004 40.7089591957349, -73.90355714418043 40.70894436864255, -73.90357612279875 40.70898961903937, -73.9035150781325 40.70900444524121, -73.90349609955004 40.7089591957349)))",4477539,1901,,08/17/2017 12:00:00 AM +0000,Constructed,890286,9.38,5110,122,307.43416311656,70.14124026268,4034960013,4034960013,Photogramm
"MULTIPOLYGON (((-73.87644726042205 40.74009698066656, -73.87650524975501 40.74005522506706, -73.87658127982914 40.74011631149294, -73.87661873574989 40.740146406085024, -73.8765652644009 40.74018490764468, -73.87656074522478 40.74018816173987, -73.87644726042205 40.74009698066656)))",4045148,1970,,08/22/2017 12:00:00 AM +0000,Constructed,458060,20.62,2100,42,1012.2651055213,135.74647310065,4018350023,4018350023,Photogramm
"MULTIPOLYGON (((-73.90740604122979 40.76326652429275, -73.90742194178947 40.76324722034412, -73.90740399077347 40.763238671834344, -73.90741788640788 40.76322180214007, -73.90743583742112 40.7632303506477, -73.90744596878578 40.7632180488876, -73.90759019604663 40.76328672909518, -73.90755026855568 40.76333520364932, -73.90740604122979 40.76326652429275)))",4013515,1940,,08/22/2017 12:00:00 AM +0000,Constructed,278238,25.34,2100,68,1024.93203916307,147.69709097821,4007310012,4007310012,Photogramm
"MULTIPOLYGON (((-73.79372761527006 40.7858072095516, -73.79372993457028 40.78580696606422, -73.79375185591768 40.785804667589716, -73.79380467715227 40.785799128556675, -73.79382454871634 40.785908602317434, -73.79383122577967 40.78594538722916, -73.79375416254668 40.78595346823954, -73.79372929966982 40.785816486853584, -73.79372761527006 40.7858072095516)))",4129641,1965,,08/22/2017 12:00:00 AM +0000,Constructed,75814,23.78,2100,37,1158.81129842832,150.66873553573,4057750002,4057750002,Photogramm
"MULTIPOLYGON (((-73.89026270897782 40.73040874032151, -73.89026450466305 40.73035918611343, -73.89034829399675 40.73036094268033, -73.89043180634361 40.73036269442018, -73.89043001078419 40.73041224773035, -73.89036681332337 40.730410922362786, -73.89026270897782 40.73040874032151)))",4058047,1920,,08/22/2017 12:00:00 AM +0000,Constructed,113255,32.47,2100,108,837.7709174878,128.89374144823,4024910013,4024910013,Photogramm
"MULTIPOLYGON (((-73.93424129859645 40.79706109100079, -73.93438581567469 40.7971232691229, -73.93435027483225 40.79717097627745, -73.93429886178907 40.79714885592226, -73.93420575768366 40.79710879811122, -73.93424129859645 40.79706109100079)))",1053134,1900,,08/22/2017 12:00:00 AM +0000,Constructed,136335,46.67881704,2100,9,918.41038281966,131.90955255633,1017110046,1017110046,Photogramm
"MULTIPOLYGON (((-73.944510276979 40.635325618699014, -73.94458038928836 40.63532256373192, -73.9445836502438 40.635365720883456, -73.94451353905481 40.63536879566454, -73.944510276979 40.635325618699014)))",3422929,1915,,08/17/2017 12:00:00 AM +0000,Constructed,1211515,14.92724727,5110,30,307.0488076772,70.4889228206,3050080024,3050080024,Photogramm
"MULTIPOLYGON (((-73.90010060205869 40.70260645217745, -73.90008667410858 40.70257786412915, -73.90006922142918 40.702542039203045, -73.90008324547334 40.70253808191924, -73.90006682144788 40.7025043668855, -73.90005279740981 40.70250832416733, -73.90002872585833 40.702458914660845, -73.90006069334893 40.702449894973725, -73.90006281027568 40.70244668918669, -73.90006559646133 40.702443794657384, -73.9000689760557 40.702441292366146, -73.90007285311088 40.70243925156904, -73.90007712104858 40.7024377289057, -73.9000816626641 40.70243676569799, -73.90008634893903 40.70243639065029, -73.90009105325129 40.7024366126578, -73.90009564190217 40.70243742530081, -73.90009924964714 40.70243901603551, -73.90015316482997 40.70254968626131, -73.90017112479887 40.70258655350743, -73.90014587274958 40.702593678969976, -73.90014389622569 40.70259715503404, -73.9001411924108 40.70260035310932, -73.90013783243012 40.70260318680819, -73.90013390750809 40.7026055805668, -73.90012952186889 40.702607469638586, -73.90012479509772 40.7026088036986, -73.90011985267441 40.70260954683513, -73.9001148283401 40.70260967755199, -73.90010985698818 40.70260919506569, -73.90010507231267 40.70260810939789, -73.90010060205869 40.70260645217745)))",4084053,1910,,08/22/2017 12:00:00 AM +0000,Constructed,216686,36.29,2100,80,1190.81265498104,168.07840639471,4035060011,4035060011,Photogramm
"MULTIPOLYGON (((-73.89541789380377 40.69829249756531, -73.89562947076786 40.698274738798766, -73.89563599536152 40.6983197694608, -73.89542441825625 40.69833752823924, -73.89541789380377 40.69829249756531)))",4086568,1920,,08/22/2017 12:00:00 AM +0000,Constructed,140181,24.56,2100,82,974.20892977269,151.05779003194,4035840048,4035840048,Photogramm
